ticker,company,price,gap_pct,float_shares,pm_volume,dollar_volume,rvol,rocm20,rocm200,vwap,atr_pct,pmh,resistance,distance_to_resistance_pct,trigger,target,stop,risk_reward,catalyst,pattern,score,signal,signal_label,reason,notes,disclaimer,recommendation,scanned_at
APUS,"Apimeds Pharmaceuticals US, Inc",7.17,45.73,1509118.0,34467123.0,247129271.91,5.53,1.3056716648878204,0.2245768544722646,6.3566,10.78,7.3,7.3,1.81,7.37,7.89,6.28,0.48,Unusual volume stocks are being observed in Friday's session.,Higher Lows + Near Premarket High,73,WATCH,🟡 WATCHLIST,"Potential setup, but important conditions are missing.",R:R 1:0.48 أقل من 1:3,ليست ضماناً لصعود 7%. الإعداد يجمع الأدلة فقط، والدخول يدوي بعد تأكيد التفعيل.,WATCH,2026-09-25 17:59 UTC
JAGX,"Jaguar Health, Inc.",9.08,28.61,342776.0,27437086.0,249128740.88,7.78,0.3370254868143607,0.004802046081110678,16.0914,52.76,10.39,10.39,14.43,10.49,11.22,6.77,0.2,Gapping stocks in Friday's session,Higher Lows,66,WATCH,🟡 WATCHLIST,"Potential setup, but important conditions are missing.",R:R 1:0.20 أقل من 1:3,ليست ضماناً لصعود 7%. الإعداد يجمع الأدلة فقط، والدخول يدوي بعد تأكيد التفعيل.,WATCH,2026-09-25 17:59 UTC
SDEV,Stablecoin Development Corporat,1.54,19.38,22550189.0,12384751.0,19072516.54,8.37,0.6275510038064956,-0.010202541206401738,1.2911,8.91,1.57,1.57,1.95,1.59,1.7,1.39,0.55,Gapping stocks in Friday's session,Higher Lows + Near Premarket High,65,WATCH,🟡 WATCHLIST,"Potential setup, but important conditions are missing.",R:R 1:0.55 أقل من 1:3,ليست ضماناً لصعود 7%. الإعداد يجمع الأدلة فقط، والدخول يدوي بعد تأكيد التفعيل.,WATCH,2026-09-25 17:59 UTC
