first_seen,ticker,company,price,gap_pct,float_shares,pm_volume,dollar_volume,rvol,rocm20,rocm200,vwap,atr_pct,pmh,resistance,distance_to_resistance_pct,trigger,target,stop,risk_reward,catalyst,pattern,score,signal,signal_label,reason,notes,disclaimer,recommendation,scanned_at
2026-09-24 14:52 UTC,GLND,Greenland Energy Company,3.21,10.31,43730194.0,113315150.0,363741631.5,5.13,2.470415300526997,,3.0969,10.46,3.23,3.23,0.62,3.26,3.49,3.17,2.56,Unusual volume stocks in Thursday's session,Higher Lows + Near Premarket High,75,STRONG,🟢 STRONG PRE-BREAKOUT,"Strong setup, but one or more confirmations are still developing.",R:R 1:2.56 أقل من 1:3,ليست ضماناً لصعود 7%. الإعداد يجمع الأدلة فقط، والدخول يدوي بعد تأكيد التفعيل.,WATCH,2026-09-24 17:58 UTC
2026-09-24 14:52 UTC,PFSA,"Profusa, Inc.",3.53,72.2,518167.0,74596030.0,263323985.9,17.25,0.5865083626502041,-0.00014589568949807674,3.0948,13.08,4.55,4.179999828338623,28.9,4.22,4.52,2.38,0.16,Which stocks are moving on Thursday?,Higher Lows,66,WATCH,🟡 WATCHLIST,"Potential setup, but important conditions are missing.",R:R 1:0.16 أقل من 1:3,ليست ضماناً لصعود 7%. الإعداد يجمع الأدلة فقط، والدخول يدوي بعد تأكيد التفعيل.,WATCH,2026-09-24 17:58 UTC
2026-09-24 14:52 UTC,GCTK,"GlucoTrack, Inc.",2.43,19.7,636246.0,49159808.0,119458333.44,13.1,0.07708109135044977,-0.014967311460967081,2.5393,13.23,5.05,3.25,107.82,3.28,3.51,2.37,0.25,Unusual volume stocks in Thursday's session,Increasing Volume,65,WATCH,🟡 WATCHLIST,"Potential setup, but important conditions are missing.",R:R 1:0.25 أقل من 1:3,ليست ضماناً لصعود 7%. الإعداد يجمع الأدلة فقط، والدخول يدوي بعد تأكيد التفعيل.,WATCH,2026-09-24 17:58 UTC
